1409	1607	432	1103
1913	1139	1265	529
232	796	874	32
280	1697	675	1481
1031	1823	1013	481
1787	458	1247	1895
54	1445	698	135
1355	1373	764	1589
1967	502	1715	1427
1805	1067	320	1679
380	994	1625	1661
1517	1085	116	302
1391	1463	631	1175
340	1229	213	1049
156	1643	1337	194
851	1553	941	253
904	719	1985	1751
1283	653	1877	1733
1301	359	1535	1841
1499	﻿2	96	1949
970	1121	175	1193
1211	1769	820	77
568	1319	405	738
1571	1157	607	1931
1859	302	232	1967
1445	1751	1733	1697
1859	994	1427	653
904	1355	1985	1103
1715	1031	1643	32
1841	194	1247	970
1121	764	116	1211
607	405	340	213
175	874	77	698
851	1391	359	320
675	1319	﻿2	1463
1805	719	1265	1661
432	1931	1301	738
1373	1913	1283	253
1607	1337	1085	54
529	1535	1049	1769
796	1787	96	631
1481	1175	280	1589
502	1499	1067	1625
380	1229	1157	1139
1013	1193	1877	1823
820	156	568	135
1517	481	1949	1553
1679	1895	1409	458
941	1571	175	1319
280	607	1751	1103
1517	302	1895	1265
1427	380	481	359
32	631	1463	719
1121	1985	1373	1643
738	796	1931	116
135	1139	1769	1355
320	502	405	1661
941	1913	874	653
529	851	1859	1283
1067	1967	194	1013
764	1787	970	﻿2
1625	1247	1733	340
1175	1877	675	1409
253	1679	1157	1535
1499	1049	213	232
1031	1481	432	1211
77	1949	994	1301
1805	96	1571	568
1715	1229	1589	820
458	1697	156	1193
1085	904	1445	54
1337	1553	1607	1823
1841	1391	698	631
1535	1031	1445	970
1859	1481	213	1301
380	1679	1715	1877
1463	1499	1949	1985
1337	1247	194	359
764	1895	904	1085
481	232	1319	253
1805	607	1643	1229
156	432	77	1787
568	340	1067	1211
1697	738	1517	﻿2
1589	280	820	302
1283	675	1571	1733
96	1265	1373	1175
1103	405	1931	1049
653	874	851	1391
135	994	1553	1841
719	32	698	1139
1121	116	1355	502
1661	529	1625	1607
796	1913	1823	1409
1751	1013	1769	941
175	54	1967	458
320	1157	1193	1427
719	1679	1553	1283
1625	874	1013	232
851	1823	1787	764
1121	1049	1427	1877
529	1859	1085	1751
194	1733	302	54
738	1067	1409	1373
1211	1463	481	1175
253	568	820	1589
135	﻿2	340	970
432	1607	994	653
1769	1841	1661	405
1715	904	631	1517
1499	359	380	1481
1247	1193	320	1931
698	1157	77	1355
1301	796	1319	96
213	1643	1895	941
607	1265	1967	156
1535	1571	458	1391
175	1031	1949	280
1913	1445	32	675
502	1139	1229	1697
1805	1103	116	1337
1985	1283	874	1661
1913	1391	970	698
1193	1013	904	1463
653	359	994	820
1949	1787	675	1499
54	941	1067	1643
1895	77	1031	1121
1535	135	156	213
1553	432	481	1769
1319	1571	1589	340
253	1355	1841	1859
1625	1679	1409	194
1103	1985	1697	1229
1823	380	1337	96
175	1445	1211	1049
1157	1517	529	796
320	738	302	458
1607	1265	116	1481
1427	1931	280	1751
719	1373	﻿2	1967
1805	764	1247	1175
1877	851	405	232
631	568	1085	32
1715	502	1301	1733
1139	607	1031	1841
1211	675	156	1535
1589	1805	1769	359
380	1733	1499	994
1265	﻿2	607	232
481	1787	280	1967
1067	1643	719	116
874	1481	796	1373
698	738	1193	1517
213	1859	1463	405
1913	904	1751	1229
941	1949	1247	194
820	970	1625	1157
568	1121	529	135
1931	1103	54	1895
1715	1175	851	96
77	1607	1697	1139
1283	340	502	175
1337	253	432	1985
1877	764	320	1445
1013	1355	1661	1085
1301	1553	1391	32
1409	1571	1427	653
1319	1679	302	631
1823	1049	458	232
1355	820	698	1823
994	1175	1049	1067
874	1031	904	764
194	77	1733	1319
675	54	380	1517
320	1265	1589	32
﻿2	135	1841	529
738	1481	1769	1409
1211	1625	1661	1643
1679	1445	1805	1697
1139	432	481	1751
1499	175	1157	1247
1877	213	851	1607
1715	405	607	1193
1985	1553	970	359
280	631	96	1283
796	1571	1463	1787
1121	502	1895	1859
302	1103	719	1931
1535	253	458	1391
156	1229	1427	1301
653	1013	1967	1337
1913	1373	1949	568
116	340	1085	941
